geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.80026487974056, 144.94396368758555","{""coordinates"": [[[[144.944118622399, -37.80047014925], [144.943755516431, -37.800431402416], [144.943732946304, -37.800154152947], [144.944189472613, -37.80003335469], [144.944177045426, -37.800103235645], [144.944118622399, -37.80047014925]]]], ""type"": ""MultiPolygon""}",,,,21050,,,Complete,,,Intersection of MacAulay Road and Dryburgh Street
"-37.80840358532965, 144.95396510383952","{""coordinates"": [[[[144.95417165872, -37.808586393346], [144.953951711955, -37.808647177075], [144.953759981644, -37.808217938308], [144.953975924364, -37.808159752828], [144.95417165872, -37.808586393346]]]], ""type"": ""MultiPolygon""}",,,,21403,,,Years 5 - 7,,,Milton Street between Dudley Street and Walsh Street
"-37.806945624127785, 144.94278342041503","{""coordinates"": [[[[144.942579889562, -37.807123347811], [144.94266790544, -37.806629148023], [144.942985741917, -37.80674459969], [144.942891821685, -37.80728095353], [144.942579889562, -37.807123347811]]]], ""type"": ""MultiPolygon""}",,,,21445,,,Complete,,,Dryburgh Street between Adderley Street and Ireland Street
"-37.81547631765326, 144.97213436155045","{""coordinates"": [[[[144.972481640437, -37.815831829505], [144.972160153072, -37.815923782583], [144.972064582737, -37.815718838334], [144.972047777452, -37.81568279831], [144.971788145527, -37.815126024815], [144.972106838833, -37.815025020028], [144.972237025938, -37.815305266173], [144.972254624755, -37.815343151931], [144.972481640437, -37.815831829505]]]], ""type"": ""MultiPolygon""}",,,,20138,,,Years 5 - 7,,,Exhibition Street between Flinders Street and Flinders Lane
"-37.79917933880284, 144.9342719317469","{""coordinates"": [[[[144.935051225559, -37.799200580736], [144.934864607628, -37.799315165576], [144.933606699065, -37.799173991394], [144.933556561525, -37.799034356097], [144.935051225559, -37.799200580736]]]], ""type"": ""MultiPolygon""}",,,,21667,,,Not determined by precinct plan,,,Arden Street between Lloyd Street and Elizabeth Street
"-37.8064022803023, 144.96066793668672","{""coordinates"": [[[[144.960127613314, -37.806207012206], [144.961264916369, -37.80633248817], [144.961194754084, -37.806596623962], [144.960085610551, -37.806475419137], [144.960127613314, -37.806207012206]]]], ""type"": ""MultiPolygon""}",,,,21625,,,Years 5 - 7,,,Victoria Street between Bouverie Street and Elizabeth Street
"-37.795505344874464, 144.93955066899414","{""coordinates"": [[[[144.939922966294, -37.795453757805], [144.940034764139, -37.7956527914], [144.939426498246, -37.795583053684], [144.939410554142, -37.795670618539], [144.939298876607, -37.795568421332], [144.93898621831, -37.795348082803], [144.939922966294, -37.795453757805]]]], ""type"": ""MultiPolygon""}",,,,21322,,,Not determined by precinct plan,,,Canning Street between Vaughan Terrace and Macaulay Road
"-37.796206286073776, 144.97315123082956","{""coordinates"": [[[[144.973360362755, -37.795999627394], [144.973284442673, -37.796439735794], [144.973282572294, -37.79645057814], [144.972942678884, -37.796412950835], [144.972945706435, -37.796395092003], [144.97301903564, -37.795962548809], [144.973360362755, -37.795999627394]]]], ""type"": ""MultiPolygon""}",,,,20585,,,Complete,,,Canning Street between Palmerston Street and Pitt Street
"-37.78995729929951, 144.9398807737547","{""coordinates"": [[[[144.939883863482, -37.790584951366], [144.93964086582, -37.79061346362], [144.939883595102, -37.789303123227], [144.940117729485, -37.789330315684], [144.939883863482, -37.790584951366]]]], ""type"": ""MultiPolygon""}",,,,23116,,,Years 8 - 10,,,Boundary Road between Alfred Street and Racecourse Road
"-37.811911448456755, 144.95366271295515","{""coordinates"": [[[[144.953612115474, -37.812194839581], [144.953599167779, -37.812165980633], [144.953501151696, -37.81195509015], [144.953487399557, -37.811925501675], [144.95330299708, -37.811528740037], [144.953626090742, -37.811439241006], [144.954021899007, -37.812294280514], [144.953699755157, -37.81238431076], [144.953612115474, -37.812194839581]]]], ""type"": ""MultiPolygon""}",,,,21507,,,Years 5 - 7,,,King Street between La Trobe Street and Jeffcott Street
"-37.8080782174268, 144.94351946858163","{""coordinates"": [[[[144.943624258686, -37.808192631547], [144.943507550241, -37.808362480557], [144.943294502792, -37.808097138026], [144.943468520715, -37.807846874474], [144.94377171858, -37.807978028201], [144.943640293469, -37.808169295405], [144.943624258686, -37.808192631547]]]], ""type"": ""MultiPolygon""}",,,,21449,,,Complete,,,Abbotsford Street between Railway Place and Adderley Street
"-37.811117041446245, 144.9899199441119","{""coordinates"": [[[[144.990878594291, -37.811362821366], [144.989369904063, -37.81119145555], [144.989326982057, -37.811187126938], [144.988917234131, -37.811141741138], [144.988962556932, -37.810875566797], [144.989247050957, -37.81090454346], [144.989262878859, -37.810906417838], [144.990051194336, -37.810993816449], [144.990086144941, -37.810998045681], [144.990910672473, -37.811089688405], [144.990878594291, -37.811362821366]]]], ""type"": ""MultiPolygon""}",,,,21573,,,Years 8 - 10,,,Albert Street between Hoddle Street and Simpson Street
"-37.79650351388865, 144.9386555918832","{""coordinates"": [[[[144.938486766479, -37.796774047203], [144.93859790283, -37.796206673685], [144.938823217324, -37.796231860837], [144.938714994298, -37.796799119763], [144.938486766479, -37.796774047203]]]], ""type"": ""MultiPolygon""}",,,,21315,,,Years 8 - 10,,,Boundary Road between Straker Street and Steel Street
"-37.79759954710244, 144.9523812215715","{""coordinates"": [[[[144.952548322843, -37.798057580762], [144.951909368847, -37.797548574671], [144.952391578624, -37.797164748105], [144.952730432385, -37.797436235924], [144.952489881983, -37.797626309676], [144.952790727532, -37.797866043199], [144.952548322843, -37.798057580762]]]], ""type"": ""MultiPolygon""}",,,,22690,,,Not determined by precinct plan,,,Flemington Road between Harcourt Street and Murphy Street
"-37.798036378245136, 144.9299822959655","{""coordinates"": [[[[144.930478217829, -37.797832389139], [144.92995235633, -37.798139558564], [144.929918387645, -37.798161121306], [144.929561964865, -37.798368097348], [144.929459193569, -37.798258684949], [144.930429170305, -37.797689585167], [144.930478217829, -37.797832389139]]]], ""type"": ""MultiPolygon""}",,,,21715,,,Not determined by precinct plan,,,Tennyson Street between Southey Street and Arden Street
"-37.7890773233408, 144.9389709082803","{""coordinates"": [[[[144.939094616991, -37.789219743355], [144.939052980224, -37.789215342455], [144.938181922001, -37.789123281863], [144.938057334711, -37.789110114447], [144.938198693849, -37.788979864096], [144.938324422139, -37.788864015588], [144.938375694942, -37.788869438837], [144.939618624683, -37.789000895381], [144.939883595102, -37.789303123227], [144.939094616991, -37.789219743355]]]], ""type"": ""MultiPolygon""}",,,,23136,,,Not determined by precinct plan,,,Racecourse Road between Boundary Road and Upfield Railway
"-37.787620713203054, 144.95793604545594","{""coordinates"": [[[[144.957171765715, -37.787424571696], [144.957723934429, -37.787468120457], [144.957794340307, -37.787473632716], [144.9587030372, -37.78754401711], [144.958670075136, -37.787815062883], [144.957760306828, -37.787745488706], [144.957688470252, -37.787740665348], [144.957202911247, -37.78770215223], [144.957171765715, -37.787424571696]]]], ""type"": ""MultiPolygon""}",,,,22378,,,Years 8 - 10,,,Leonard Street between Royal Parade and The Avenue
"-37.783808264130556, 144.94106244553194","{""coordinates"": [[[[144.940984234015, -37.78386898561], [144.940594531123, -37.783494844386], [144.940650639082, -37.783414146383], [144.940715073233, -37.783379430484], [144.940750257383, -37.783360472991], [144.941439175421, -37.784022074398], [144.941488410506, -37.784353022474], [144.941006221427, -37.783890095258], [144.940984234015, -37.78386898561]]]], ""type"": ""MultiPolygon""}",,,,22416,,,Years 8 - 10,,,Manningham Street between Oak Street and Tullamarine Freeway
"-37.80673052332785, 144.9636198986704","{""coordinates"": [[[[144.963041387335, -37.806806217283], [144.963085981899, -37.806533343631], [144.963370986346, -37.806565506792], [144.963417230225, -37.806570725959], [144.964226214197, -37.806662017488], [144.964130110071, -37.806925301117], [144.963041387335, -37.806806217283]]]], ""type"": ""MultiPolygon""}",,,,21607,,,Years 5 - 7,,,Victoria Street between Cardigan Street and Swanston Street
"-37.80145391339994, 144.94475369720865","{""coordinates"": [[[[144.944798896557, -37.800545295945], [144.945027133206, -37.800568872322], [144.944979398928, -37.800838428806], [144.944961698953, -37.800929129595], [144.944768363335, -37.80200665362], [144.94475211677, -37.802097509491], [144.944703337388, -37.802371007301], [144.944480149394, -37.802346737046], [144.944530181447, -37.802075728619], [144.944547191121, -37.801982510604], [144.94473603282, -37.800905542971], [144.94475306827, -37.800813504091], [144.944798896557, -37.800545295945]]]], ""type"": ""MultiPolygon""}",,,,21056,,,Complete,,,Lothian Street between Queensberry Street and Arden Street
"-37.8253479931987, 144.9470276166994","{""coordinates"": [[[[144.947506751066, -37.825068146206], [144.947366365032, -37.825571683487], [144.947022564133, -37.825533770441], [144.94629553637, -37.825455132271], [144.946950064774, -37.825154561876], [144.946955643367, -37.825155166514], [144.9469813319, -37.825157039414], [144.947007095164, -37.825157465432], [144.947032799, -37.825156219666], [144.947058168947, -37.825152890898], [144.947154199274, -37.825143444265], [144.947249626803, -37.825130722187], [144.947344274049, -37.825114748325], [144.947354206632, -37.825112911497], [144.94736410397, -37.825110958632], [144.947373963906, -37.825108890154], [144.947419369893, -37.825097736174], [144.947463702154, -37.825084133418], [144.947506751066, -37.825068146206]]]], ""type"": ""MultiPolygon""}",,,,22122,,,Complete,,,Lorimer Street between Montague Street and Westgate Freeway
"-37.807414704987, 144.96574105068103","{""coordinates"": [[[[144.965936142399, -37.807642384984], [144.965930104382, -37.807675824299], [144.965604145484, -37.80777036184], [144.965272709479, -37.807051451901], [144.965323554126, -37.807055381833], [144.965368516783, -37.807060493389], [144.965366022881, -37.807060427785], [144.965363532953, -37.80706052719], [144.965361065393, -37.80706079977], [144.965358639253, -37.807061243423], [144.965356273267, -37.807061854721], [144.965353985701, -37.807062628946], [144.965351794218, -37.807063560119], [144.965349715738, -37.807064641051], [144.96534776631, -37.807065863396], [144.965345960985, -37.807067217716], [144.965344313702, -37.807068693554], [144.965342837179, -37.807070279516], [144.965341542818, -37.807071963356], [144.965340440611, -37.807073732074], [144.965339539068, -37.807075572012], [144.965338845152, -37.807077468966], [144.965338364219, -37.807079408287], [144.965338099982, -37.807081375004], [144.965338054483, -37.80708335393], [144.965338228072, -37.807085329787], [144.965338619408, -37.807087287319], [144.965339162941, -37.807089225788], [144.965562227694, -37.807572851211], [144.965562783267, -37.807573721356], [144.965563393816, -37.807574565942], [144.965564093262, -37.807575366273], [144.965564876416, -37.807576116409], [144.965565737465, -37.807576810784], [144.96556667002, -37.807577444245], [144.96556766716, -37.807578012091], [144.965568721486, -37.807578510108], [144.965569825174, -37.8075789346], [144.965570970033, -37.807579282416], [144.965572147567, -37.807579550977], [144.965573349038, -37.807579738289], [144.96557456553, -37.807579842962], [144.965575788015, -37.807579864219], [144.965577007421, -37.807579801903], [144.9655782147, -37.807579656475], [144.965579400891, -37.807579429016], [144.965580557194, -37.807579121212], [144.965581675025, -37.807578735349], [144.965582746091, -37.807578274289], [144.965583762443, -37.807577741455], [144.965584716538, -37.8075771408], [144.965585601297, -37.807576476782], [144.965586410153, -37.807575754328], [144.965587137104, -37.8075749788], [144.965587776756, -37.807574155952], [144.965588324362, -37.807573291892], [144.965588775857, -37.807572393031], [144.965589127892, -37.80757146604], [144.965589361262, -37.807570515528], [144.965668251732, -37.8071109453], [144.965668432704, -37.807109540151], [144.965668438978, -37.807108125983], [144.96566829002, -37.807106715764], [144.965667986962, -37.807105320213], [144.965667532108, -37.80710394994], [144.965666928915, -37.807102615361], [144.965666181968, -37.807101326621], [144.965665296946, -37.807100093516], [144.965664280577, -37.807098925421], [144.965663140586, -37.807097831215], [144.965661885639, -37.807096819215], [144.965660525277, -37.807095897115], [144.965659069839, -37.807095071924], [144.965657530391, -37.807094349916], [144.965655918635, -37.807093736577], [144.965654246822, -37.807093236572], [144.965652527661, -37.807092853701], [144.965650776672, -37.807092576602], [144.965671009845, -37.807094876297], [144.966003940796, -37.807136028446], [144.965936142399, -37.807642384984]]]], ""type"": ""MultiPolygon""}",,,,21615,,,Years 5 - 7,,,Russell Street between MacKenzie Street and Victoria Street
"-37.8265465751674, 144.9883254010102","{""coordinates"": [[[144.987882338969, -37.829126506727], [144.987968246388, -37.828754228726], [144.98793812399, -37.828715085876], [144.987911409127, -37.828680371964], [144.988112788385, -37.827495496484], [144.988161805941, -37.827450786297], [144.988205407211, -37.82740267594], [144.988243219396, -37.827351576777], [144.988134794226, -37.827242351455], [144.98815238195, -37.827141074862], [144.988385671215, -37.825664401742], [144.988398576131, -37.825381592015], [144.98827494938, -37.824786508297], [144.988210313948, -37.824732069479], [144.987468211261, -37.824598320817], [144.988113858406, -37.824681227807], [144.988759507128, -37.824764132195], [144.988638645581, -37.825546538399], [144.988293849715, -37.827555894438], [144.988058312012, -37.828871263668], [144.987989946096, -37.829253047036], [144.987882338969, -37.829126506727]]], ""type"": ""Polygon""}",,,,22487,,,Years 8 - 10,,,Punt Road between Hoddle Bridge and Olympic Boulevard
"-37.79874442342735, 144.9435584665165","{""coordinates"": [[[[144.943041689625, -37.798985108121], [144.943811025882, -37.798467290898], [144.943911294521, -37.798399801584], [144.943924123098, -37.798390493158], [144.943936340145, -37.798380680392], [144.943947914212, -37.798370388547], [144.944082543868, -37.79849632797], [144.943247236152, -37.799057448862], [144.943216985645, -37.799145423125], [144.943041689625, -37.798985108121]]]], ""type"": ""MultiPolygon""}",,,,21165,,,Years 8 - 10,,,Haines Street between Dryburgh Street and MacAulay Road
"-37.8270683860298, 144.96102699372562","{""coordinates"": [[[[144.961019206031, -37.826913757593], [144.961112862102, -37.827010075782], [144.961400370342, -37.827305756867], [144.961185828253, -37.827177673523], [144.961156559649, -37.8271661419], [144.961126638987, -37.827155893549], [144.961095685992, -37.827147848447], [144.961063959301, -37.827142073818], [144.961031724015, -37.827138617913], [144.960999249484, -37.827137509609], [144.960966807057, -37.827138758167], [144.960934667817, -37.827142353155], [144.960903100311, -37.827148264532], [144.960872748501, -37.827157208187], [144.960791350319, -37.826980129855], [144.961019206031, -37.826913757593]]]], ""type"": ""MultiPolygon""}",,,,22030,,,Years 8 - 10,,,Ph8007 from Kings Way
"-37.78605035945019, 144.9569455271828","{""coordinates"": [[[[144.957131942778, -37.784682003127], [144.95710996524, -37.784953792549], [144.957100216217, -37.785226082477], [144.957094402156, -37.7854984725], [144.957092797448, -37.785590486147], [144.95709172402, -37.785682504663], [144.957091181897, -37.785774526115], [144.95709117294, -37.785867222862], [144.957091703119, -37.785959918653], [144.957092772426, -37.786052611513], [144.957094370225, -37.78614477951], [144.957096501065, -37.786236940714], [144.957099164904, -37.786329093185], [144.957102303704, -37.786419696954], [144.957105957743, -37.786510288556], [144.95711012695, -37.786600866145], [144.957114862113, -37.786692357435], [144.957120122892, -37.786783830638], [144.957125909178, -37.786875283852], [144.957132250573, -37.786967124723], [144.957139121946, -37.787058941579], [144.957146523155, -37.787150732494], [144.957148454028, -37.787173652566], [144.957150417936, -37.787196570869], [144.957152414877, -37.787219487375], [144.957154415741, -37.78724207224], [144.957156448689, -37.787264655301], [144.957158513718, -37.787287236528], [144.957162799164, -37.787333022893], [144.957167216504, -37.787378801362], [144.957171765715, -37.787424571696], [144.956819751607, -37.787396807425], [144.956771309554, -37.786486163388], [144.956755112951, -37.785575466361], [144.956798784653, -37.784665842441], [144.957131942778, -37.784682003127]]]], ""type"": ""MultiPolygon""}",,,,22380,,,Years 8 - 10,,,The Avenue between Leonard Street and Walker Street
"-37.82154317168747, 144.96931114486244","{""coordinates"": [[[[144.968657207506, -37.819707546742], [144.968686299615, -37.819771005695], [144.968785781234, -37.819988006534], [144.968811202959, -37.82003207618], [144.968839747846, -37.820074840469], [144.968872934863, -37.820115460039], [144.968910502981, -37.8201536154], [144.96895215671, -37.820189006446], [144.968997568427, -37.82022135481], [144.96904638095, -37.82025040606], [144.969097114272, -37.820277497069], [144.969184914523, -37.820469012695], [144.969359414271, -37.820849642959], [144.969373266171, -37.820849848513], [144.969503459277, -37.821136423798], [144.969492358577, -37.82113962709], [144.970385410462, -37.82308752604], [144.969741390912, -37.823273312244], [144.968700144006, -37.821006734906], [144.968544512438, -37.820675163934], [144.968547638655, -37.820674507746], [144.968491612664, -37.820552516793], [144.968448501092, -37.820355173342], [144.968444941651, -37.820331908191], [144.968443105013, -37.820308550675], [144.968443566895, -37.820285165269], [144.968446680536, -37.820261934223], [144.968453112802, -37.8202121637], [144.968453556113, -37.820162074736], [144.968448716995, -37.82011209817], [144.968438629372, -37.820062584376], [144.968423363966, -37.820013880484], [144.968404993855, -37.819965735626], [144.96832970528, -37.819801181322], [144.968302014351, -37.819740658161], [144.96828098035, -37.819694685799], [144.968258598076, -37.819645765853], [144.968634533137, -37.819658083823], [144.968657207506, -37.819707546742]]]], ""type"": ""MultiPolygon""}",,,,22087,,,Not determined by precinct plan,,,St Kilda Road between Yarra River and Southbank Boulevard
"-37.809992460923375, 144.97288223516665","{""coordinates"": [[[[144.972767582407, -37.81036893427], [144.972727679144, -37.810282536276], [144.972651287359, -37.810117131921], [144.972558791839, -37.809916371905], [144.972679334431, -37.809903813093], [144.972679973969, -37.809903876619], [144.972680616831, -37.809903902885], [144.972681259695, -37.809903884835], [144.972681897718, -37.809903822604], [144.972682526097, -37.809903716663], [144.9726831401, -37.809903567807], [144.972683735102, -37.809903377159], [144.972684306624, -37.809903146154], [144.97268485036, -37.809902876531], [144.972685362218, -37.809902570321], [144.972685838342, -37.80990222983], [144.972686275146, -37.809901857622], [144.972686669342, -37.809901456499], [144.972687017961, -37.809901029483], [144.972687318378, -37.809900579789], [144.97268756833, -37.809900110803], [144.972687765935, -37.809899626057], [144.972687909706, -37.809899129201], [144.972687998559, -37.809898623978], [144.972688032144, -37.809898114195], [144.972777943358, -37.809362196093], [144.97311907369, -37.809402856608], [144.973039650345, -37.809871607811], [144.9730102148, -37.810080561118], [144.973000421561, -37.81029086649], [144.973003985505, -37.810501444318], [144.973008350511, -37.810566702343], [144.973014225747, -37.810631885743], [144.973021609233, -37.81069697252], [144.973030479095, -37.810727803096], [144.973052298018, -37.810775003875], [144.97305891711, -37.810947820403], [144.973102576222, -37.811091833041], [144.972904977413, -37.810666421767], [144.972767582407, -37.81036893427]]]], ""type"": ""MultiPolygon""}",,,,21553,,,Years 8 - 10,,,Nicholson Street between Spring Street and Albert Street
"-37.821357540703964, 144.98382557352213","{""coordinates"": [[[[144.978788049076, -37.818566100349], [144.978898531852, -37.81857890381], [144.978936008074, -37.818628114398], [144.978979248504, -37.818674254348], [144.979027856297, -37.818716900193], [144.979081385341, -37.81875566053], [144.980015334644, -37.819326225519], [144.980995135683, -37.819904106604], [144.981493969797, -37.820198874252], [144.981585329651, -37.820255235636], [144.98167417915, -37.820310048051], [144.981816701503, -37.820402217713], [144.981821737845, -37.820397453902], [144.981976235896, -37.820500248961], [144.981975982034, -37.820500798419], [144.981975810573, -37.820501368585], [144.981975702254, -37.820501948806], [144.981975657893, -37.820502534702], [144.981975677825, -37.820503121849], [144.981975761901, -37.820503705814], [144.981975909485, -37.820504282188], [144.981976119463, -37.82050484662], [144.98197639025, -37.820505394847], [144.981976719801, -37.820505922732], [144.981977105628, -37.820506426288], [144.981977544818, -37.820506901714], [144.981978034055, -37.820507345419], [144.981978569646, -37.820507754054], [144.981979147547, -37.820508124535], [144.981979763394, -37.820508454062], [144.981980412538, -37.82050874015], [144.981981090077, -37.820508980637], [144.981981790897, -37.820509173708], [144.981982509706, -37.820509317906], [144.981983241077, -37.820509412141], [144.981983979491, -37.820509455639], [144.981983886027, -37.820510246848], [144.981983891183, -37.820511042456], [144.98198398475, -37.820511835163], [144.981984165998, -37.820512618792], [144.981984433514, -37.820513387232], [144.981984785214, -37.820514134495], [144.981985218355, -37.820514854756], [144.981985729562, -37.820515542401], [144.981986314849, -37.820516192068], [144.981986969654, -37.820516798695], [144.981987688874, -37.820517357553], [144.981988466902, -37.820517864285], [144.981989297673, -37.820518314942], [144.981990174713, -37.820518706011], [144.981991091183, -37.820519034443], [144.981992039941, -37.820519297678], [144.981993013592, -37.820519493665], [144.981994004545, -37.820519620876], [144.981995005077, -37.82051967832], [144.981996007389, -37.820519665548], [144.981997003667, -37.82051958266], [144.981997986145, -37.820519430302], [144.981998947167, -37.820519209662], [144.98199987924, -37.820518922459], [144.982000775099, -37.820518570933], [144.982001627761, -37.820518157823], [144.982002402003, -37.820517658492], [144.982002581631, -37.820517778724], [144.98209015284, -37.82057604296], [144.982089627122, -37.820576705313], [144.982089212567, -37.820577416918], [144.982088878058, -37.820578154989], [144.982088626142, -37.820578913906], [144.982088458736, -37.820579687892], [144.982088377115, -37.820580471052], [144.982088381902, -37.820581257423], [144.982088473059, -37.820582041017], [144.982088649892, -37.820582815869], [144.982088911055, -37.820583576077], [144.98208925456, -37.820584315853], [144.98208967779, -37.820585029565], [144.982090177523, -37.820585711777], [144.982090749954, -37.820586357295], [144.982091390724, -37.820586961205], [144.982092094954, -37.820587518907], [144.982092857282, -37.820588026154], [144.982093671903, -37.820588479085], [144.982094532614, -37.820588874251], [144.982095432862, -37.820589208643], [144.982096365791, -37.820589479714], [144.982097324298, -37.820589685401], [144.982098301085, -37.820589824137], [144.982099288713, -37.820589894866], [144.982100279663, -37.820589897049], [144.982101266388, -37.82058983067], [144.982102241377, -37.820589696235], [144.982103197204, -37.820589494766], [144.982104126592, -37.820589227798], [144.982105022464, -37.820588897364], [144.982105877998, -37.820588505979], [144.98210668668, -37.820588056625], [144.982107411342, -37.82058752596], [144.982154331931, -37.82061874393], [144.982191780114, -37.820649672482], [144.982191635653, -37.82065045502], [144.982191592816, -37.820651246235], [144.982191637747, -37.820652037934], [144.982191770099, -37.820652823999], [144.98219198885, -37.820653598353], [144.982192292308, -37.820654355013], [144.982192678128, -37.82065508813], [144.982193143329, -37.820655792038], [144.982193684315, -37.820656461298], [144.982194296904, -37.820657090736], [144.982194976363, -37.820657675488], [144.98219571744, -37.820658211034], [144.982196514408, -37.820658693236], [144.982197361107, -37.820659118366], [144.982198250993, -37.820659483139], [144.982199177188, -37.820659784736], [144.982200132535, -37.820660020826], [144.982201109649, -37.820660189584], [144.98220210098, -37.820660289706], [144.982203098865, -37.820660320418], [144.982204095592, -37.820660281483], [144.982205083457, -37.820660173201], [144.982206054827, -37.82065999641], [144.982207002192, -37.820659752476], [144.982207918232, -37.820659443284], [144.982208774676, -37.82065904309], [144.982208409823, -37.820659978527], [144.982208180846, -37.820660942334], [144.982208058706, -37.820661918977], [144.982208044331, -37.820662901033], [144.98220813783, -37.820663881032], [144.982208338493, -37.820664851526], [144.982208644793, -37.820665805135], [144.982209054403, -37.820666734609], [144.982209564207, -37.820667632881], [144.98221017033, -37.820668493121], [144.982210868163, -37.82066930879], [144.982211652401, -37.820670073685], [144.982212517081, -37.820670781991], [144.982213455629, -37.820671428323], [144.982214460909, -37.820672007766], [144.982215525278, -37.820672515916], [144.982216640644, -37.820672948909], [144.982217798526, -37.820673303452], [144.982218990121, -37.820673576851], [144.98222020637, -37.820673767026], [144.982221438025, -37.820673872531], [144.982222675527, -37.8206738876], [144.982238485892, -37.820686945355], [144.98238253933, -37.820783016547], [144.982538815958, -37.820879712448], [144.982700127148, -37.820971056697], [144.983269127095, -37.821275871348], [144.983905131509, -37.821616572832], [144.984110527714, -37.821716430081], [144.985058995738, -37.822121497439], [144.985329180429, -37.822234271253], [144.985727515986, -37.822385335376], [144.986111108226, -37.822516289435], [144.986829123283, -37.822741048272], [144.986977428038, -37.822780452048], [144.987610244, -37.822847541967], [144.988656969454, -37.822958832147], [144.988595774742, -37.823161672903], [144.988544437704, -37.823155586167], [144.988516154582, -37.82314768538], [144.988088758944, -37.823103983432], [144.988065194332, -37.823156814255], [144.98802459125, -37.823145744259], [144.987717089827, -37.823081369191], [144.987440039522, -37.823047897055], [144.986883299236, -37.822900512902], [144.986333250637, -37.822738089538], [144.985790539222, -37.822560817596], [144.984921198875, -37.822221097415], [144.984075744937, -37.821845360373], [144.983256546725, -37.821434659654], [144.983258460493, -37.82143242417], [144.983266753961, -37.821422733475], [144.983239313608, -37.821407957264], [144.983113672381, -37.821340300321], [144.983053997451, -37.821307374596], [144.982987408568, -37.821270816708], [144.982934787195, -37.82124136684], [144.982863454826, -37.821201074247], [144.982756536642, -37.821141089495], [144.982651559456, -37.821080504375], [144.982575113355, -37.821035980377], [144.982498956803, -37.820991298179], [144.982422740295, -37.820946526589], [144.98234677962, -37.820901333077], [144.98227080403, -37.820855856291], [144.982078468636, -37.82073591979], [144.982023312397, -37.820698918366], [144.981960372021, -37.820656243963], [144.981907160631, -37.820620208539], [144.981839713255, -37.820574505466], [144.981733186954, -37.820502533643], [144.981533476975, -37.820374758477], [144.981467713251, -37.820334116233], [144.981394795448, -37.820289322136], [144.981370910034, -37.820274648798], [144.981361867599, -37.82028393], [144.981349657879, -37.82029646332], [144.981086384347, -37.8201348306], [144.980825697678, -37.819970581257], [144.980567639189, -37.819803741336], [144.978757967071, -37.818740934153], [144.978788049076, -37.818566100349]]], [[[144.978849792592, -37.818491307224], [144.978801873586, -37.818485754375], [144.978817906778, -37.818392570289], [144.978826176809, -37.81842594312], [144.978836816804, -37.818458890705], [144.978849792592, -37.818491307224]]]], ""type"": ""MultiPolygon""}",,,,22001,,,Years 8 - 10,,,Brunton Avenue between Punt Road and Jolimont Road
"-37.81640577314725, 144.96134159000803","{""coordinates"": [[[[144.961688208381, -37.81675862512], [144.961360746318, -37.816853161178], [144.960996954861, -37.816058568806], [144.961318734595, -37.815952819332], [144.961688208381, -37.81675862512]]]], ""type"": ""MultiPolygon""}",,,,20172,,,Years 5 - 7,,,Queen Street between Collins Street and Little Collins Street
"-37.81604298957224, 144.94917677263612","{""coordinates"": [[[[144.950168900701, -37.817803470785], [144.950093363906, -37.817824522846], [144.9500105121, -37.817701133572], [144.950010366991, -37.817700917468], [144.950060604181, -37.817737587437], [144.950113511674, -37.817771812581], [144.950168900701, -37.817803470785]]], [[[144.948003578861, -37.814302840122], [144.948046120994, -37.814355562103], [144.948507385588, -37.814927197215], [144.948873420208, -37.815304220493], [144.949029270942, -37.815480735655], [144.949136078767, -37.815608501359], [144.949238607976, -37.815738454368], [144.949336787414, -37.815870504529], [144.949868262892, -37.81663713475], [144.949939261618, -37.81674071701], [144.950009402932, -37.816844666283], [144.950078683816, -37.816948978102], [144.950236439873, -37.817191288912], [144.950274611951, -37.817252868851], [144.950311866211, -37.817314801527], [144.950348197473, -37.81737707833], [144.950518995376, -37.81768559522], [144.950528886246, -37.81770314201], [144.950445237018, -37.817661583974], [144.950359997254, -37.817622599097], [144.950271041793, -37.81758931961], [144.950178980839, -37.817561973799], [144.950084445895, -37.817540749246], [144.949988085438, -37.817525791543], [144.949890582019, -37.817516923693], [144.949460579588, -37.816735450378], [144.949376266499, -37.816545615118], [144.949131092026, -37.816112573764], [144.94914663093, -37.816107035452], [144.949069555378, -37.815992300814], [144.948988317912, -37.81587938773], [144.94890298689, -37.815768391186], [144.948781224402, -37.815621520019], [144.94865229658, -37.815478549304], [144.948516401753, -37.815339698924], [144.948503155215, -37.815348195996], [144.948222058613, -37.815072353942], [144.947678256558, -37.814461987678], [144.947632193349, -37.814410285602], [144.947674394523, -37.814398076717], [144.948003578861, -37.814302840122]]]], ""type"": ""MultiPolygon""}",,,,22552,,,Complete,,,Wurundjeri Way between La Trobe Street and Bourke Street
